"date","AUS","BEL","CAN","CHE","DEU","GBR","ITA","MEX","NLD","NZL","SWE","USA"
2000,7.6122,7.942,8.2757,9.3385,9.8104,6.263,7.5804,4.8564,7.0564,7.47,7.4124,12.5075
2001,7.7051,8.1053,8.6553,9.6919,9.8473,6.597,7.7689,5.2527,7.4412,7.5789,8.0342,13.1745
2002,7.8957,8.2635,8.8882,10.0969,10.0927,6.849,7.893,5.4064,7.9543,7.9004,8.3621,13.9595
2003,7.9019,9.0901,9.0428,10.3932,10.3299,7.093,7.8554,5.9454,8.4572,7.7219,8.4639,14.4603
2004,8.1134,9.1109,9.0972,10.4232,10.0987,7.291,8.1878,6.0485,8.5212,7.901,8.2614,14.5426
2005,7.9812,9.0362,9.0644,10.2555,10.2444,7.418,8.3612,5.9216,9.411,8.2735,8.2774,14.5475
2006,7.9899,8.9444,9.2342,9.8069,10.097,7.549,8.4597,5.7145,9.3035,8.633,8.1611,14.6639
2007,8.0633,8.9838,9.3245,9.6348,9.9542,7.633,8.1628,5.8194,9.3134,8.3213,8.0739,14.9042
2008,8.2669,9.3597,9.4907,9.7804,10.1497,7.865,8.5618,5.744,9.5324,9.1424,8.3131,15.3178
2009,8.5923,10.1111,10.6043,10.388,11.1304,8.664,8.9765,6.1756,10.2519,9.6704,8.9445,16.35
2010,8.4717,9.9392,10.5875,10.459,10.9956,8.462,8.9536,6.02,10.4324,9.6589,8.4864,16.3918
2011,8.5897,10.1137,10.2572,10.6097,10.7022,8.438,8.8346,5.7554,10.4821,9.5642,10.679,16.4139
2012,8.7435,10.2226,10.2504,10.9931,10.7676,8.496,8.842,5.9241,10.8598,9.6762,10.9382,16.3771
2013,8.8356,10.4175,10.1685,11.1796,10.9375,9.923,8.7988,6.0147,10.9485,9.3984,11.1014,16.3678
2014,9.012,10.4172,9.9762,11.3991,11.0342,9.875,9.0539,5.6895,10.9352,9.3798,11.1819,16.5865
2015,9.2559,10.3574,10.1473,11.5361,11.0839,9.7533,9.0509,5.794,10.7637,9.4083,11.0704,16.9148